,Power,Hybrid type,Range extender,Transmission,Doors,Model,Condition,Battery warranty (km),Mileage,Valid MOT until,Battery capacity,CO2 emissions,El. motor power,First registration,Energy efficiency,Battery type,Country of origin,DC charging time,Emission class,Fuel,Drive type,AC charging time,Secondary drive,Body,Make,Interior color,Engine power,CARNAME,Currency,Weight,Engine capacity,VIN,ID,Tags,Type of finish,Price,Consumption,Full service history,Interior material,Body color,Previous owners,Seats,Warranty until,Electric range
0,225 kW,Plug-in hybrid,No,Automatic,4/5 doors,RAV 4,,,61 029 km,,,26 g/km,,12/2021,,,,,Euro 6d,Hybrid,4x4,,,SUV / offroad,Toyota,Black interior,,toyota rav-4,EUR,,2 487 ccm,not published by the seller,61188306,Ventilated front seats; Heated rear seats; Parking assist system self-steering; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto,Metallic,41599,1.2 l/100km (combined),,Full leather interior,Silver,1,5,,
1,195 kW,,,Automatic,4/5 doors,Q5,,,5 367 km,,,169 g/km,,1/2023,,,,,Euro 6d,Petrol,4x4,,,SUV / offroad,Audi,Black interior,,audi q5,EUR,,1 984 ccm,not published by the seller,61188310,LED headlights; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system; El. tailgate; Paddle shifters,Metallic,53199,7.4 l/100km (combined); 9 l/100km (city); 6.2 l/100km ,,Cloth interior,Black,1,5,,
2,190 kW,,,Automatic,4/5 doors,430 Gran Coupé,,,76 000 km,,,0 g/km,,1/2020,,,,,Euro 6,Diesel,4x4,,,Coupe,BMW,Other interior color,,bmw 430-gran-coup%C3%A9,EUR,,2 993 ccm,not published by the seller,61188282,Heated rear seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay,Metallic,38399,,,Full leather interior,Brown,2,5,,
3,100 kW,,,Automatic,4/5 doors,Soul,,,19 833 km,,,0 g/km,,8/2021,,,,,No emission class,Electric,4x2,,,MPV/VAN,Kia,Black interior,,kia soul,EUR,,,not published by the seller,61188247,LED headlights; Digital cockpit; Keyless entry; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control; Traffic sign recognition; Bluetooth,Metallic,25799,,,Cloth interior,Grey,1,5,,
4,110 kW,,,Automatic,4/5 doors,T6 California,,,1 250 km,12/2026,,179 g/km,,12/2023,,,,,Euro 6d,Diesel,4x2,,,Cargo VAN,Volkswagen,Black interior,,volkswagen t6-california,EUR,,1 968 ccm,not published by the seller,61188225,Parking assist system self-steering; LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Voice control,,75399,6.9 l/100km (combined),,Velour interior,White,1,5,,
5,55 kW,,,Manual,,Caddy,,,119 000 km,,,158 g/km,,1/2014,,,,,Euro 5,Diesel,4x2,,,Cargo VAN,Volkswagen,Other interior color,,volkswagen caddy,EUR,,1 598 ccm,not published by the seller,61188220,Central locking with remote,,10749,6 l/100km (combined),,Other interior material,White,1,2,,
6,70 kW,,,Manual,4/5 doors,Polo,,,89 573 km,,,105 g/km,,12/2020,,,,,Euro 6,Petrol,4x2,,,Sedans / saloons,Volkswagen,Black interior,,volkswagen polo,EUR,,999 ccm,not published by the seller,61188222,Smartphone mirroring; Apple CarPlay; Android auto; Integrated music streaming; Navigation system; Bluetooth; Light sensor; Hill-start assist; Front collision warning system; Multifunctional steering wheel,Metallic,15249,4.6 l/100km (combined); 5.5 l/100km (city); 4 l/100km ,,Cloth interior,Orange,1,5,,
7,63 kW,,,Automatic,2/3 doors,500C,,,45 000 km,,,90 g/km,,6/2018,,,,,Euro 6,Petrol,4x2,,,Cabriolet,Fiat,Black interior,,fiat 500c,EUR,,875 ccm,not published by the seller,61188191,Bluetooth; Automatic A/C; Rain sensor; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel; On-board computer; Start-stop system,Metallic,14699,3.8 l/100km (combined); 4.3 l/100km (city); 3.5 l/100km ,,Cloth interior,Blue,2,4,,
8,210 kW,,,Automatic,4/5 doors,X5,,,26 100 km,,,163 g/km,,2/2023,,,,,Euro 6,Diesel,4x4,,,SUV / offroad,BMW,Black interior,,bmw x5,EUR,,2 993 ccm,not published by the seller,61188210,Heated rear seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Active steering; Head-up display,Metallic,63449,6.2 l/100km (combined); 7.2 l/100km (city); 5.6 l/100km ,,Other interior material,Black,1,5,,
9,110 kW,,,Automatic,4/5 doors,Leon,,,10 km,,,107 g/km,,11/2023,,,,,Euro 6d,Diesel,4x2,,,Station Wagon,Seat,Other interior color,,seat leon,EUR,,1 968 ccm,not published by the seller,61188205,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system,Metallic,34099,4.1 l/100km (combined); 4.8 l/100km (city); 3.6 l/100km ,,Cloth interior,Grey,,5,,
10,110 kW,,,Automatic,4/5 doors,Superb,,,82 498 km,04/2024,,102 g/km,,5/2020,,,,,Euro 6d,Diesel,4x2,,,Station Wagon,Skoda,Black interior,,skoda superb,EUR,,1 968 ccm,not published by the seller,61188178,LED headlights; Heated front seats; Apple CarPlay; Android auto; Voice control; Navigation system; Sport front seats; Traffic sign recognition; Bluetooth; Automatic 2-zones air conditioning,Metallic,24649,3.9 l/100km (combined); 4.3 l/100km (city); 3.6 l/100km ,,Cloth interior,Silver,1,5,,
11,110 kW,,,Automatic,4/5 doors,Karoq,,,31 228 km,,,126 g/km,,11/2020,,,,,Euro 6,Petrol,4x2,,,SUV / offroad,Skoda,Grey interior,,skoda karoq,EUR,,1 498 ccm,not published by the seller,61188183,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Front seats with memory; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto,Metallic,28799,5.6 l/100km (combined); 6.6 l/100km (city); 4.7 l/100km ,,Cloth interior,Grey,1,5,,
12,44 kW,,,Manual,4/5 doors,Citigo,,,101 000 km,,,101 g/km,,12/2017,,,,,Euro 6,Petrol,4x2,,,Hatchback,Skoda,Black interior,,skoda citigo,EUR,,999 ccm,not published by the seller,61188188,Heated front seats; Integrated music streaming; Navigation system; Traffic sign recognition; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Hill-start assist; Multifunctional steering wheel,Metallic,9849,4.4 l/100km (combined); 5.5 l/100km (city); 3.8 l/100km ,,Cloth interior,Black,2,4,,
13,81 kW,,,Automatic,4/5 doors,C3,,,2 km,,,120 g/km,,5/2023,,,,,No emission class,Petrol,4x2,,,Hatchback,Citroen,Black interior,,citroen c3,EUR,,1 199 ccm,not published by the seller,61188169,LED headlights; Keyless entry; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Keyless ignition; Voice control; Navigation system; Traffic sign recognition,,21449,5.9 l/100km (combined); 7.5 l/100km (city); 5.1 l/100km ,,Cloth interior,White,2,5,,
14,74 kW,,,Manual,4/5 doors,208,,,6 500 km,,,97 g/km,,2/2022,,,,,Euro 6d,Petrol,4x2,,,Hatchback,Peugeot,Other interior color,,peugeot 208,EUR,,1 199 ccm,not published by the seller,61188166,LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Smartphone mirroring; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system,,20399,5.3 l/100km (combined); 1 l/100km (city); 1 l/100km ,,Cloth interior,White,1,5,,
15,70 kW,,,Manual,4/5 doors,Polo,Used,,15 000 km,,,106 g/km,,5/2023,,,,,Euro 6d-TEMP,Petrol,4x2,,,Sedans / saloons,Volkswagen,Black interior,,volkswagen polo,EUR,,999 ccm,not published by the seller,61188163,LED headlights; Digital cockpit; Apple CarPlay; Android auto; Integrated music streaming; Bluetooth; Rain sensor; Light sensor; Lane assist; Hill-start assist,Metallic,21499,4.6 l/100km (combined); 5.7 l/100km (city); 4 l/100km ,,Other interior material,Black,1,5,,
16,129 kW,,,Automatic,4/5 doors,CX-5,,,117 320 km,10/2025,,144 g/km,,11/2016,,,,,Euro 6,Diesel,4x4,,,SUV / offroad,Mazda,Black interior,,mazda cx-5,EUR,,2 191 ccm,not published by the seller,61188129,LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Bose audio; Heated front seats; Keyless ignition; Voice control; Navigation system; Sport front seats,Metallic,18949,5.5 l/100km (combined); 6.4 l/100km (city); 4.9 l/100km ,,Full leather interior,White,,5,,
17,110 kW,,,Automatic,4/5 doors,T-Cross,,,15 700 km,,,118 g/km,,5/2023,,,,,Euro 6d,Petrol,4x2,,,SUV / offroad,Volkswagen,Grey interior,,volkswagen t-cross,EUR,,1 498 ccm,not published by the seller,61188119,LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Voice control; Navigation system,Metallic,28799,6 l/100km (combined),,Cloth interior,Black,1,5,,
