CARNAME,ID,Make,Model,Body color,Interior color,Interior material,Body,Doors,Seats,Fuel,Transmission,Drive type,Power(kW),CO2 emissions(g/km),Emission class,Mileage(km),First registration,Condition,Consumption(l/100km or kWh/100km),Price(EUR),Previous owners,Engine capacity(ccm),Tags
toyota rav-4,61188306,Toyota,RAV 4,Silver,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x4,225,26,Euro 6d,61029,01/12/2021,Used,1.2,41599,1,2487,Ventilated front seats; Heated rear seats; Parking assist system self-steering; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto
audi q5,61188310,Audi,Q5,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,195,169,Euro 6d,5367,01/01/2023,Used,7.4,53199,1,1984,LED headlights; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system; El. tailgate; Paddle shifters
bmw 430-gran-coup%C3%A9,61188282,BMW,430 Gran Coupé,Brown,Other interior color,Full leather interior,Coupe,4/5 doors,5,Diesel,Automatic,4x4,190,0,Euro 6,76000,01/01/2020,Used,4.8,38399,2,2993,Heated rear seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay
kia soul,61188247,Kia,Soul,Grey,Black interior,Cloth interior,MPV/VAN,4/5 doors,5,Electric,Automatic,4x2,100,0,No emission class,19833,01/08/2021,Used,5.534431978,25799,1,1499,LED headlights; Digital cockpit; Keyless entry; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control; Traffic sign recognition; Bluetooth
volkswagen t6-california,61188225,Volkswagen,T6 California,White,Black interior,Velour interior,Cargo VAN,4/5 doors,5,Diesel,Automatic,4x2,110,179,Euro 6d,1250,01/12/2023,Used,6.9,75399,1,1968,Parking assist system self-steering; LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Voice control
volkswagen caddy,61188220,Volkswagen,Caddy,White,Other interior color,Other interior material,Cargo VAN,4/5 doors,2,Diesel,Manual,4x2,55,158,Euro 5,119000,01/01/2014,Used,6,10749,1,1598,Central locking with remote
volkswagen polo,61188222,Volkswagen,Polo,Orange,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,Petrol,Manual,4x2,70,105,Euro 6,89573,01/12/2020,Used,4.6,15249,1,999,Smartphone mirroring; Apple CarPlay; Android auto; Integrated music streaming; Navigation system; Bluetooth; Light sensor; Hill-start assist; Front collision warning system; Multifunctional steering wheel
fiat 500c,61188191,Fiat,500C,Blue,Black interior,Cloth interior,Cabriolet,2/3 doors,4,Petrol,Automatic,4x2,63,90,Euro 6,45000,01/06/2018,Used,3.8,14699,2,875,Bluetooth; Automatic A/C; Rain sensor; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel; On-board computer; Start-stop system
bmw x5,61188210,BMW,X5,Black,Black interior,Other interior material,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,210,163,Euro 6,26100,01/02/2023,Used,6.2,63449,1,2993,Heated rear seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Active steering; Head-up display
seat leon,61188205,Seat,Leon,Grey,Other interior color,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,110,107,Euro 6d,10,01/11/2023,New,4.1,34099,0,1968,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system
