CARNAME,Make,Model,Body color,Interior color,Interior material,Body,Doors,Seats,Fuel,Transmission,Drive type,Power(kW),CO2 emissions(g/km),Emission class,Mileage(km),First registration,Condition,Consumption(l/100km or kWh/100km),Price(EUR),Tags,Engine capacity(ccm),Previous owners
hyundai kona,Hyundai,Kona,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,Electric,Automatic,4x2,160,0,No emission class,10,9/2023,New,0.0,53099,Ventilated front seats; Heated rear seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Bose audio; Heated front seats,1499.0,0.0
volkswagen up!,Volkswagen,up!,Black,Other interior color,Cloth interior,Hatchback,4/5 doors,4.0,Petrol,Automatic,4x2,61,112,Euro 6d,35,9/2023,New,5.5,27749,Heated front seats; Bluetooth; Automatic A/C; Rain sensor; Hill-start assist; Parking sensors; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel,999.0,0.0
seat ibiza,Seat,Ibiza,Black,Grey interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Automatic,4x2,81,110,Euro 6,2855,6/2023,Demonstration car,4.8,27549,LED headlights; Digital cockpit; Keyless entry; Panoramic roof; Navigation system; Sport front seats; Bluetooth; Sport-suspension system; Automatic A/C; Light sensor,999.0,0.0
ford kuga,Ford,Kuga,Silver,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Manual,4x2,110,125,Euro 6d,8,4/2023,New,6.6,37249,Heated rear seats; LED headlights; Digital cockpit; Keyless entry; Heated front seats; Head-up display; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming,1496.0,1.0
dodge nitro,Dodge,Nitro,White,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x4,191,288,Euro 4,158863,4/2011,Used,12.1,14799,Electric adjustable front seats; Heated front seats; Navigation system; Leather; Automatic A/C; Light sensor; Multifunctional steering wheel; Side mirrors with electic adjustment; Electrically heated side mirrors; On-board computer,3952.0,2.0
hyundai tucson,Hyundai,Tucson,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Hybrid,Manual,4x2,169,139,Euro 6d,10,9/2023,New,6.1,31999,LED headlights; Heated front seats; Smartphone mirroring; Apple CarPlay; Android auto; Integrated music streaming; Navigation system; Heated steering wheel; Bluetooth; Automatic 2-zones air conditioning,1598.0,0.0
hyundai kona,Hyundai,Kona,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,Electric,Automatic,4x2,160,0,No emission class,8,9/2023,New,0.0,54999,Ventilated front seats; Heated rear seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Bose audio; Heated front seats,1499.0,0.0
volkswagen t6-california,Volkswagen,T6 California,Black,Black interior,Cloth interior,Cargo VAN,4/5 doors,4.0,Diesel,Automatic,4x2,110,179,Euro 6d-TEMP,20,10/2023,New,6.9,75299,LED headlights; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Voice control; Navigation system; Traffic sign recognition; Bluetooth; High beam assist,1968.0,1.0
mercedes-benz vito,Mercedes-Benz,Vito,Blue,Black interior,Cloth interior,Cargo VAN,4/5 doors,6.0,Diesel,Manual,4x2,100,191,Euro 6c,23544,6/2019,Used,7.3,32949,Heated front seats; Integrated music streaming; Bluetooth; Automatic A/C; Light sensor; Hill-start assist; Front collision warning system; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights,2143.0,0.0
mercedes-benz gls-350,Mercedes-Benz,GLS 350,White,Brown interior,Full leather interior,SUV / offroad,4/5 doors,7.0,Diesel,Automatic,4x4,190,185,Euro 6,79800,1/2018,Used,7.1,59449,Ventilated front seats; Air suspension; LED headlights; Keyless entry; Electric adjustable front seats; Heated front seats; Apple CarPlay; WLAN/Wifi hotspot; Integrated music streaming; Keyless ignition,2987.0,1.0
kia ev6,Kia,EV6,Blue,Black interior,Other interior material,SUV / offroad,4/5 doors,5.0,Electric,Automatic,4x2,168,0,Euro 6d,0,9/2023,New,16.5,55849,Ventilated front seats; Heated rear seats; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay,1499.0,0.0
citroen berlingo,Citroen,Berlingo,White,Black interior,Cloth interior,Cargo VAN,4/5 doors,5.0,Petrol,Manual,4x2,81,130,Euro 6d-TEMP,39957,4/2019,Used,5.7,22049,Keyless entry; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control; Navigation system; Traffic sign recognition; Bluetooth,1199.0,1.0
volkswagen t5-transporter,Volkswagen,T5 Transporter,Grey,Grey interior,Other interior material,Cargo VAN,4/5 doors,4.0,Diesel,Manual,4x4,103,219,Euro 5,82423,1/2013,Used,8.3,46149,On-board computer; CD player; Front electric windows; Detachable trailer coupling,1968.0,1.0
lada niva,Lada,Niva,Black,Grey interior,Cloth interior,SUV / offroad,2/3 doors,4.0,Petrol,Manual,4x4,61,246,Euro 6,10,9/2023,New,10.0,20749,Bluetooth; Daytime running lights; On-board computer; Front electric windows,1690.0,0.0
