,Weight,Engine power,Emission class,Engine capacity,Condition,VIN,Full service history,Price,Power,CARNAME,Previous owners,ID,Battery type,Battery warranty (km),Interior color,Mileage,Make,Hybrid type,El. motor power,Model,Electric range,Battery capacity,First registration,Doors,Valid MOT until,Country of origin,Energy efficiency,CO2 emissions,Type of finish,Currency,Tags,AC charging time,Interior material,DC charging time,Secondary drive,Consumption,Body,Warranty until,Body color,Seats,Transmission,Fuel,Range extender,Battery capacity1,Drive type
0,1178,,Euro 6,1 364 ccm,Used,not published by the seller,,13899,110 kW,opel adam,,61023275,,,Other interior color,51 000 km,Opel,,,Adam,,,4/2017,2/3 doors,,,,139 g/km,Metallic,EUR,Parking assist system self-steering; Digital cockpit; Apple CarPlay; Android auto; Voice control; Sport front seats; Bluetooth; Sport-suspension system; Automatic A/C; Blind spot assist,,Part leather interior,,,5.9 l/100km (combined); 5.9 l/100km (city); 5.9 l/100km ,Hatchback,,Grey,4,Manual,Petrol,,,4x2
1,,,Euro 6d-TEMP,1 998 ccm,,not published by the seller,,38999,135 kW,bmw x3,1,61023291,,,Black interior,29 463 km,BMW,,,X3,,,8/2020,4/5 doors,,,,163 g/km,Metallic,EUR,Parking assist system self-steering; LED headlights; Keyless entry; Heated front seats; Keyless ignition; Navigation system; El. tailgate; Paddle shifters; Sport front seats; Traffic sign recognition,,Part leather interior,,,7.2 l/100km (combined); 8.2 l/100km (city); 6.6 l/100km ,SUV / offroad,,Silver,5,Automatic,Petrol,,,4x4
2,1859,,No emission class,,Used,not published by the seller,,37049,150 kW,cupra born,,61023277,,,Other interior color,36 000 km,Cupra,,,Born,,,4/2022,4/5 doors,,,,0 g/km,,EUR,LED headlights; Heated front seats; Rain sensor; Lane assist; Parking sensors; Multifunctional steering wheel; Side mirrors with electic adjustment; Heated windshield; USB,,Other interior material,,,15.7 kWh/100km (combined),Hatchback,,Grey,5,Automatic,Electric,,,4x2
3,,,Euro 6,1 968 ccm,,not published by the seller,,45749,147 kW,volkswagen golf,1,61023276,,,Grey interior,4 450 km,Volkswagen,,,Golf,,,1/2022,4/5 doors,,,,117 g/km,Metallic,EUR,Digital cockpit; Harman/Kardon audio; Panoramic roof; Navigation system; Bluetooth; Xenon headlights; Automatic A/C; Rain sensor; Side mirrors with electic adjustment; Daytime running lights,,Cloth interior,,,4.4 l/100km (combined); 5.4 l/100km (city); 3.9 l/100km ,Hatchback,,Black,5,Automatic,Diesel,,,4x2
4,,,Euro 6,2 191 ccm,,not published by the seller,,21799,129 kW,mazda cx-5,2,61023284,,,Black interior,116 000 km,Mazda,,,CX-5,,,5/2018,4/5 doors,,,,142 g/km,Metallic,EUR,Heated rear seats; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Bose audio; Heated front seats; Head-up display; Integrated music streaming; Keyless ignition,,Part leather interior,,,5.4 l/100km (combined); 6.3 l/100km (city); 4.9 l/100km ,SUV / offroad,,Black,,Manual,Diesel,,,4x4
5,,,,1 984 ccm,New,not published by the seller,,42349,110 kW,audi a4,,61023286,,,,10 km,Audi,,,A4,,,1/2023,4/5 doors,,,,129 g/km,,EUR,LED headlights; Digital cockpit; Keyless ignition; Navigation system; Bluetooth; Automatic A/C; High beam assist; Predictive emergency braking system (PEBS); Multifunctional steering wheel; Side mirrors with electic adjustment,,Part leather interior,,,5.7 l/100km (combined),Sedans / saloons,,Black,,Automatic,Petrol,,,4x2
6,,,Euro 6,1 997 ccm,Used,not published by the seller,,46799,130 kW,citroen jumpy,1,61023289,,,Black interior,246 km,Citroen,,,Jumpy,,,9/2023,4/5 doors,,,,195 g/km,,EUR,Apple CarPlay; Navigation system; Bluetooth; Rear parking camera; Multifunctional steering wheel,,Cloth interior,,,7.4 l/100km (combined),Cargo VAN,12/2025,Black,5,Automatic,Diesel,,,4x2
7,1215,,Euro 6,999 ccm,New,not published by the seller,,24199,81 kW,seat arona,,61023285,,,Grey interior,20 km,Seat,,,Arona,,,9/2023,4/5 doors,,,,109 g/km,Metallic,EUR,LED headlights; Digital cockpit; Heated front seats; Apple CarPlay; Android auto; Bluetooth; Automatic 2-zones air conditioning; Light sensor; Lane assist; Hill-start assist,,Cloth interior,,,4.8 l/100km (combined),SUV / offroad,,Red,5,Manual,Petrol,,,4x2
8,,,Euro 6,1 968 ccm,New,not published by the seller,,43349,147 kW,volkswagen passat,,61023282,,,Other interior color,10 km,Volkswagen,,,Passat,,,9/2023,4/5 doors,,,,124 g/km,,EUR,LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Integrated music streaming; Keyless ignition; Navigation system; Paddle shifters; Bluetooth; Rain sensor,,Part leather interior,,,5.5 l/100km (combined),Station Wagon,,,5,Automatic,Diesel,,,4x2
9,1519,,Euro 6,1 598 ccm,Demonstration car,not published by the seller,,31199,96 kW,jeep compass,,61023281,,,Black interior,7 000 km,Jeep,,,Compass,,,4/2023,4/5 doors,,,,0 g/km,,EUR,LED headlights; Adaptive cruise control; Apple CarPlay; Android auto; Voice control; Navigation system; Traffic sign recognition; Bluetooth; Automatic 2-zones air conditioning; High beam assist,,Cloth interior,,,,SUV / offroad,,Red,5,Manual,Diesel,,,4x2
